level,predictor,arm,arm_label,matched_epoch,train_trajectories,brier_debiased,brier_debiased_se,brier_raw,skill_score,REL_debiased,RES,UNC_debiased,VAR_debiased,decomp_gap,sAUROC,SHARP,SHARP_star,AURC,risk@0.2,risk@0.5,risk@1,KL,log_score,log_score_oracle,log_score_climatology,MAE,bias,acc@0.5,prec@0.5,rec@0.5,f1@0.5,f1@0.25,f1@0.75,roa_frac_true@0.5,roa_frac_pred@0.5,mean_p_invalid,n_points,K,M
high,fm,ent05,entropy d2=0.5,9,10000,0.00045587674583400005,2.0443780024261454e-05,0.0014568016092532058,0.9976230001264847,-0.00038105144643367956,0.19094968101769452,0.19178660920996388,0.19178660920996385,-1.6705387073656652e-15,0.9809166321486079,0.05108172750893395,0.04901075883298664,8.72762258480592e-05,2.8954366394648133e-05,2.7257030958314336e-05,0.0004558767458339949,0.010665053105415555,0.16948082736093167,0.15926042708429025,0.6746273025481904,0.020955494091023385,-0.004932863967814936,0.9873271310032687,0.9915161642779099,0.9764542059624027,0.9839275463996429,0.9808330775883716,0.9818261923119287,0.39725924063364343,0.3912245411113905,0.5613565501634398,39770,100.0,100.0
high,fm,ent10,entropy d2=1.0,9,10000,0.00022751294691953478,1.6222991308807446e-05,0.001209416645712849,0.998813718289005,-0.00044931637782115637,0.1911097798852215,0.19178660920996388,0.19178660920996385,-1.7071847407956753e-15,0.9809605972122025,0.04917961104634477,0.04901075883298664,6.412979644881596e-05,4.15266570660085e-05,3.926110488846298e-05,0.00022751294691953643,0.009998805455812087,0.16881457971128935,0.15926042708429025,0.6746273025481904,0.01899497108373146,-0.004146090017601208,0.9882826250942922,0.9887790883009244,0.981644407873916,0.9851988311523313,0.9844599844599845,0.9818328327595047,0.39725924063364343,0.3943927583605733,0.563124214231833,39770,100.0,100.0
high,fm,tb05,entropy+modesep d2=0.5,9,10000,0.0004580998824046348,2.0378811774000034e-05,0.0014664018104098566,0.9976114084070222,-0.00041162932202136536,0.1909168800055364,0.19178660920996388,0.19178660920996385,-1.4985842428094642e-15,0.9809044790621395,0.05181943396753556,0.04901075883298664,8.951056574678064e-05,2.918295349776378e-05,2.1856482857238028e-05,0.0004580998824046302,0.011111012852238158,0.1699267871078121,0.15926042708429025,0.6746273025481904,0.021371888358058838,-0.002771938647221525,0.9873019864219261,0.9904438173422268,0.9774669282866004,0.9839125864101176,0.9818728594102415,0.9812465728386035,0.39725924063364343,0.39205431229570026,0.5595929092280613,39770,100.0,100.0
high,fm,tb10,entropy+modesep d2=1.0,9,10000,0.0002916970052549635,1.7585385006891238e-05,0.0012728539099823987,0.9984790543695592,-0.00038535954733928614,0.1911095526573688,0.19178660920996388,0.19178660920996385,-8.471955775801732e-16,0.9809094785642333,0.04910493163975689,0.04901075883298664,8.115812458122272e-05,4.30759696537923e-05,4.51295961881841e-05,0.00029169700525496063,0.010662296175784484,0.16947807043130655,0.15926042708429025,0.6746273025481904,0.019674629117425197,-0.007172743273824492,0.9878803117928087,0.9902067464635473,0.9791758972086841,0.9846604289987906,0.9836485695980388,0.9812871505100169,0.39725924063364343,0.3928337943173246,0.5646396781493587,39770,100.0,100.0
xhigh,clf,dir00,non-adaptive (d2=0),9,10000,0.07404674285854176,0.0003738444212405729,0.07520308792855292,0.447335304055697,0.07227542096158587,0.1320802906005576,0.1339813152566636,0.13398131525666354,-0.00012970275915009932,0.8973142952963548,0.13999148101806522,0.11563450700111501,0.031077628443660927,0.00013807046095100223,0.03059555909445318,0.074046742858542,0.18873643153835523,0.5514458370560305,0.3628579082417961,0.6923786281643889,0.22083466467509352,0.22030948331167508,0.7133014835302992,0.5952719011784751,1.0,0.7462952249566107,0.7270273006445517,0.8179654604259474,0.4216746291174252,0.7083731455871259,0.0,39770,1.0,100.0
xhigh,clf,ent05,entropy d2=0.5,9,10000,0.12205226094623699,0.0005591200178974336,0.12320860601624813,0.08903520828687539,0.12026777020659216,0.13209850164478687,0.1339813152566636,0.13398131525666354,-9.832287223189573e-05,0.8968780519886212,0.12979882458045056,0.11563450700111501,0.0556875585978953,0.00018024528504259073,0.05757666997284526,0.12205226094623756,0.3148227219031689,0.6775321274208261,0.3628579082417961,0.6923786281643889,0.2870873948786167,0.28670460064890163,0.5530047774704551,0.4854256520103048,1.0,0.6535845821072939,0.7056993121519817,0.7649593379940077,0.4216746291174252,0.8686698516469701,0.0,39770,1.0,100.0
xhigh,clf,ent10,entropy d2=1.0,9,10000,0.1671244053845535,0.0008213092271442163,0.16828075045456467,-0.24737098650210188,0.13698755625853798,0.10388572672110599,0.1339813152566636,0.13398131525666354,4.126059045794772e-05,0.858817269401992,0.12347833535937265,0.11563450700111501,0.10090617284726155,0.0508919549187653,0.09508263687052415,0.16712440538455403,0.5003779602082662,0.8630873657260897,0.3628579082417961,0.6923786281643889,0.3330926375416077,0.32689972172492043,0.48420920291677144,0.44980285921197327,1.0,0.620502099790946,0.7027644132757074,0.7118428040361127,0.4216746291174252,0.9374654262006538,0.0,39770,1.0,100.0
xhigh,fm,dir00,non-adaptive (d2=0),9,10000,0.00240175961272265,4.394382409955473e-05,0.004694289665577069,0.9820739212171363,0.0002812082551696825,0.13186076389911144,0.1339813152566636,0.13398131525666354,8.179221189230645e-16,0.8959217639973873,0.11361849828432682,0.11563450700111501,0.0015113232044166975,0.0014292571173134493,0.00173031009110476,0.002401759612722751,0.022325748490816737,0.3850351540087652,0.3628579082417961,0.6923786281643889,0.05057103344229319,-0.02774930852401308,0.9677143575559467,0.9854545454545455,0.9372689326177698,0.960757946210269,0.9553871066156626,0.9586732338002155,0.4216746291174252,0.4010560724163943,0.5296897158662308,39770,100.0,100.0
xhigh,fm,ent05,entropy d2=0.5,9,10000,0.002166138173284263,3.472458752107854e-05,0.004458048780487805,0.9838325353864853,0.00046581254945922195,0.1322809896328391,0.1339813152566636,0.13398131525666354,5.542441505745899e-16,0.8958593897816854,0.11355655371923917,0.11563450700111501,0.0017342664293230824,0.0019969448063740423,0.0020034567449705195,0.0021661381732843645,0.022618489636201774,0.3853278951541684,0.3628579082417961,0.6923786281643889,0.05123359316067387,-0.032214734724666835,0.9730701533819462,0.9872741945496306,0.9483601669648182,0.9674260166063444,0.9564269119529658,0.9596261395847698,0.4216746291174252,0.4050540608498869,0.5351782750817198,39770,100.0,100.0
xhigh,fm,ent10,entropy d2=1.0,9,10000,0.003876073025959875,4.5976547067223555e-05,0.00604179532310787,0.9710700479500846,0.002003391398308261,0.13210863362901254,0.1339813152566636,0.13398131525666354,5.629177679544739e-16,0.8953327716985241,0.10093772271368451,0.11563450700111501,0.004839821488293328,0.005639598143872328,0.004996055805731064,0.003876073025959492,0.04661616531349149,0.409325570831434,0.3628579082417961,0.6923786281643889,0.06004978627105859,-0.043755091777721904,0.9754588886095047,0.9817593948267448,0.9596302921884318,0.9705687232374405,0.9546110362118309,0.9606299212598426,0.4216746291174252,0.4121699773698768,0.5490030173497612,39770,100.0,100.0
xhigh,fm,tb05,entropy+modesep d2=0.5,9,10000,0.001581346124051681,3.1310093713220306e-05,0.0038595951722403825,0.9881972637675459,-8.039809287446135e-05,0.13231957103973804,0.1339813152566636,0.13398131525666354,6.110563444128303e-16,0.8962844385772725,0.11219039781775514,0.11563450700111501,0.0013322085735590142,0.001222787340338273,0.0016359692474151508,0.0015813461240517248,0.01953227885877222,0.38224168437667677,0.3628579082417961,0.6923786281643889,0.04651269801357808,-0.02095222529544883,0.9762886597938144,0.9826187717265353,0.960763267740012,0.9715681249434679,0.9510999605082816,0.9659151294314127,0.4216746291174252,0.4122957002765904,0.5242323359316067,39770,100.0,100.0
xhigh,fm,tb10,entropy+modesep d2=1.0,9,10000,0.001734669196363941,3.660404729692934e-05,0.004015426200653759,0.9870529021674336,4.71082581887008e-05,0.13229375431848897,0.1339813152566636,0.13398131525666354,6.375108774214766e-16,0.8958629474597833,0.1124411934278668,0.11563450700111501,0.0014641207006415096,0.0013801779423605154,0.001731658145447544,0.001734669196364044,0.021166050103922456,0.38387545562186054,0.3628579082417961,0.6923786281643889,0.04723384460648731,-0.025180538094040736,0.9775458888609505,0.9827303131650957,0.963685152057245,0.9731145566762005,0.9609792702373136,0.9627968839065172,0.4216746291174252,0.413502640181041,0.52932134774956,39770,100.0,100.0
