system,arm,epoch,train_traj,region,n_points,mean_of_means,median_of_means,p90_of_means,mean_of_medians,median_of_medians,p90_of_medians,mean_of_p90s,median_of_p90s,p90_of_p90s
pendulum,fm_disp_gdiv_d10,18,1900,certain_success,18628,0.02757195755839348,0.013457126915454865,0.05444914475083351,0.01861710287630558,0.010227718390524387,0.04335242509841919,0.054210055619478226,0.02049487829208374,0.0727732852101326
pendulum,fm_disp_gdiv_d10,18,1900,certain_failure,29803,0.026895912364125252,0.008526073768734932,0.029369425028562546,0.011728576384484768,0.006935073062777519,0.014342116191983223,0.0635286495089531,0.013481037691235542,0.029230717569589615
pendulum,fm_disp_greedy_d05,18,1900,full,48770,0.040727365761995316,0.009112055413424969,0.04906400293111801,0.027578148990869522,0.007160494104027748,0.031012997031211853,0.08180283010005951,0.013754157349467278,0.062192026525735855
pendulum,fm_disp_greedy_d05,18,1900,certain_success,18538,0.03368159756064415,0.01649775728583336,0.0564328134059906,0.027157563716173172,0.012779692187905312,0.04923916980624199,0.05509493872523308,0.024571094661951065,0.07325949519872665
pendulum,fm_disp_greedy_d05,18,1900,certain_failure,29757,0.03391088545322418,0.007512271404266357,0.0305462758988142,0.017628148198127747,0.0062453532591462135,0.017578493803739548,0.08017966151237488,0.011392557062208652,0.03851106017827988
pendulum,fm_disp_greedy_d10,18,1900,full,48770,0.03736560419201851,0.011726117692887783,0.05558868125081062,0.021284226328134537,0.009080406278371811,0.034414395689964294,0.08427353203296661,0.018294617533683777,0.0727219358086586
pendulum,fm_disp_greedy_d10,18,1900,certain_success,18049,0.03686138615012169,0.01755809597671032,0.06466830521821976,0.026810895651578903,0.013415451161563396,0.0558488704264164,0.07332482933998108,0.025579873472452164,0.09260503947734833
pendulum,fm_disp_greedy_d10,18,1900,certain_failure,29873,0.03528197854757309,0.010017034597694874,0.038226813077926636,0.015372770838439465,0.007950669154524803,0.020069055259227753,0.08688227087259293,0.016171608120203018,0.044146668165922165
pendulum,fm_disp_prop_d05,18,1900,full,48770,0.06531132757663727,0.021025637164711952,0.08607598394155502,0.04281453788280487,0.015002943575382233,0.045452218502759933,0.14304719865322113,0.030734367668628693,0.10099849849939346
pendulum,fm_disp_prop_d05,18,1900,certain_success,17263,0.04311675205826759,0.028889715671539307,0.07736387848854065,0.028167277574539185,0.020362790673971176,0.057185474783182144,0.07954557985067368,0.03796248883008957,0.09818988293409348
pendulum,fm_disp_prop_d05,18,1900,certain_failure,29636,0.05996420979499817,0.015244603157043457,0.07250511646270752,0.03617003187537193,0.011994902044534683,0.03153858706355095,0.13974185287952423,0.024129420518875122,0.08927065134048462
pendulum,fm_disp_prop_d10,18,1900,full,48770,0.0351690948009491,0.011465886607766151,0.049618057906627655,0.020095638930797577,0.008791541680693626,0.029804546386003494,0.07972971349954605,0.018494863063097,0.061608001589775085
pendulum,fm_disp_prop_d10,18,1900,certain_success,18160,0.029933972284197807,0.012045037001371384,0.057500530034303665,0.020467741414904594,0.008943287655711174,0.04888312891125679,0.06125396862626076,0.018189094960689545,0.0794135108590126
pendulum,fm_disp_prop_d10,18,1900,certain_failure,29817,0.03244762122631073,0.011076701804995537,0.03481884300708771,0.014161181636154652,0.008526504039764404,0.01808977499604225,0.07922117412090302,0.018234554678201675,0.04251835122704506
pendulum,fm_nonadapt,19,1000,full,48770,3.2669503688812256,3.459998607635498,6.291359233856201,3.30395245552063,4.198200702667236,6.2907267093658445,4.472010476084165,6.277891278266907,6.324431681632996
pendulum,fm_nonadapt,19,1000,certain_success,15682,3.463701009750366,3.4636056423187256,5.328514671325683,3.692302703857422,6.243106842041016,6.275588035583496,6.10807306059041,6.278694939613342,6.28186176776886
pendulum,fm_nonadapt,19,1000,certain_failure,25508,3.2544381618499756,5.028096675872803,6.294874763488769,3.227687120437622,5.005421161651611,6.293022966384887,3.49575646233238,6.291600918769836,6.341715660095215
pendulum,fm_ranked,19,1050,full,48770,0.3559137284755707,0.022261792793869972,0.9351852715015412,0.3210678994655609,0.02039072848856449,0.6198361098766323,0.5757170930712857,0.03677456993609667,2.085622489452362
pendulum,fm_ranked,19,1050,certain_success,18799,0.02366543933749199,0.007178003434091806,0.017456188797950745,0.014178454875946045,0.006677860394120216,0.016655129194259644,0.06050819960695959,0.01169123919680715,0.027186777815222746
pendulum,fm_ranked,19,1050,certain_failure,23550,0.2369883954524994,0.03436420112848282,0.2998245745897298,0.19706156849861145,0.029956312850117683,0.05740980207920076,0.4222599500650165,0.05812504626810551,1.0289381015300756
quad2d,fm_direct,9,7608,full,479789,1.8761154413223267,1.2338393926620483,4.1360578536987305,1.6728702783584595,0.9700297117233276,3.7788617610931396,3.3854541778564453,2.2482059001922607,7.794672966003418
quad2d,fm_direct,9,7608,certain_success,18811,0.23234903812408447,0.0894489511847496,0.27207818627357483,0.16158540546894073,0.03101501613855362,0.10261659324169159,0.1918315291404724,0.05532404035329819,0.1705384999513626
quad2d,fm_direct,9,7608,certain_failure,404714,1.8111413717269897,1.224804401397705,3.827254295349121,1.6289708614349365,0.9911881685256958,3.5396571159362793,3.2131640911102295,2.2091245651245117,6.8938422203063965
quad2d,fm_disp_gdiv_d05,19,11500,full,479789,1.7407890558242798,1.1332712173461914,3.870950222015381,1.5340049266815186,0.8798177242279053,3.43501877784729,3.215513229370117,2.085986852645874,7.481911659240723
