level,arm,train_size,n_eval,binary_outcomes,truth,KL,sAUROC,brier_debiased,skill_score,brier_raw,f1,accuracy,precision,recall,auc,brier,log_score,n_invalid,K,M
sigma_030.0,fm,2000,130859,True,mc,0.20305959277320143,0.8983474274745982,0.04529248114438581,0.28813230729214345,0.04639735977267955,0.0,0.9071023619139074,0.0,0.0,0.9569962397686372,0.15442909543860184,0.40092117453909,0,100,95.0
sigma_030.0,fm,4000,130859,True,mc,0.08359500349931233,0.9168103085823823,0.01924302753177685,0.6975548862935779,0.02054230513572802,0.9134428054550514,0.993527777488736,0.9318568994889267,0.8957423580786026,0.9731055301334427,0.09910285345295318,0.28145658526520406,0,100,95.0
sigma_030.0,fm,6000,130859,True,mc,0.06686415756310114,0.9207183022118903,0.01687544811454053,0.7347664334304593,0.01820154595781012,0.0,0.9946564230224473,0.0,0.0,0.9745955815870507,0.09715153715067361,0.2647257393289918,0,100,95.0
sigma_030.0,fm,8000,130859,True,mc,0.05773489402480058,0.9222518004171183,0.014932364621729546,0.76530612407705,0.01627225887058365,0.0,0.9965165785059992,0.0,0.0,0.9758910929098573,0.09229384299131124,0.2555964757906891,0,100,95.0
sigma_030.0,fm_outcome,1000,130859,True,mc,0.0762166510665806,0.9157579367623288,0.01965053431743235,0.6911500502603607,0.02039471759941264,0.697020421827921,0.9895356366495537,0.9091703056768559,0.5651465798045603,0.9646352487616298,0.08469818490337142,0.2740782328328656,0,1,95.0
sigma_030.0,fm_outcome,2000,130859,True,mc,0.037791804163808645,0.9238804347623529,0.01124459545371907,0.823267261611159,0.011988778735699358,0.5690376569037656,0.9988065719648692,0.7391304347826086,0.46258503401360546,0.974580772003421,0.06690686512112375,0.2356533859301484,0,1,95.0
sigma_030.0,fm_outcome,4000,130859,True,mc,0.041640701950870565,0.9236438430948722,0.01242233868184185,0.8047565213464918,0.013166521963822139,0.829050279329609,0.9982544010770231,0.837471783295711,0.8207964601769911,0.9735551648173859,0.07153735566269423,0.2395022837171299,0,1,95.0
sigma_030.0,fm_outcome,6000,130859,True,mc,0.02794383563111145,0.9260743740969873,0.008246848428898576,0.8703832332683075,0.008991031710878863,0.11594202898550725,0.9993172762680754,0.8,0.0625,0.9764395337011545,0.06483261766686303,0.22580541739745744,0,1,95.0
sigma_030.0,fm_outcome,8000,130859,True,mc,0.02309186976444682,0.9274790202522307,0.005720852830094724,0.9100846277001642,0.006465036112075009,0.08196721311475409,0.9987345776652958,1.0,0.042735042735042736,0.9786031126459281,0.0677214897073779,0.22095345153112914,0,1,95.0
sigma_030.0,mlp,1000,130859,True,mc,0.11339785836558243,0.9163575813159446,0.02514711387292052,0.6047596095716072,0.0258912971549008,0.2947103274559194,0.9820111145613603,0.8258823529411765,0.17935615738375063,0.9635411243342521,0.07049602454964979,0.31125944013162976,0,1,95.0
sigma_030.0,mlp,2000,130859,True,mc,0.04466711846074626,0.9249220089250118,0.012674216340450642,0.8007977281175029,0.01341839962243093,0.26181818181818184,0.9977474478473147,0.9230769230769231,0.15254237288135594,0.9756147427366181,0.05941413608535627,0.24252870022680392,0,1,95.0
sigma_030.0,mlp,4000,130859,True,mc,0.03612253849719698,0.9264188368753207,0.008987767157859665,0.8587381192727155,0.00973195043983995,0.7457627118644068,0.9973162167602263,0.9072164948453608,0.6330935251798561,0.9776856532944916,0.0574855982275703,0.23398412026320012,0,1,95.0
sigma_030.0,mlp,6000,130859,True,mc,0.026003892211326277,0.9263416334128729,0.006913481514346813,0.8913399308263217,0.007657664796327099,0.132890365448505,0.9971328133582336,1.0,0.0711743772241993,0.9775651248774384,0.06021123059022728,0.223865473977397,0,1,95.0
sigma_030.0,mlp,8000,130859,True,mc,0.03660959179185627,0.9249457595403443,0.010546858053279765,0.8342336891686009,0.01129104133526005,0.7856287425149701,0.998039451922761,0.9618768328445748,0.6639676113360324,0.9733316628193094,0.05578916965533398,0.23447117355784852,0,1,95.0
sigma_040.0,fm,1000,130859,True,mc,0.29233634341631587,0.7688454171852767,0.030257637889887935,-0.2521142119704167,0.030987051394621337,0.05479452054794521,0.9987013353660258,0.038461538461538464,0.09523809523809523,0.8604268927227199,0.00246597941295593,0.4769926944229618,0,100,95.0
sigma_040.0,fm,2000,130859,True,mc,0.1724625291153238,0.8430506657230652,0.022809194355944588,0.056115466758948185,0.0236495450549331,0.0,0.997997935856348,0.0,0.0,0.9124387085178598,0.004328091304381051,0.3571188801219708,0,100,95.0
sigma_040.0,fm,4000,130859,True,mc,0.16470647757542642,0.8447089683421077,0.02172803483705639,0.10085574701259714,0.022587829974700095,0.055017192872772736,0.9756103464411922,0.02952029520295203,0.4036697247706422,0.8982239450537773,0.004919005952972282,0.34936282858207746,0,100,95.0
sigma_040.0,fm,6000,130859,True,mc,0.10593536490786115,0.8715268552930755,0.01577923812825725,0.34702740556428957,0.016736359187138873,0.03779452218634135,0.9220838337271917,0.0192753446382823,0.9634146341463414,0.9105091987944073,0.008240204342078115,0.2905917159145116,0,100,95.0
sigma_040.0,fm,8000,130859,True,mc,0.10236937247790714,0.8760005295644615,0.016353113872029403,0.32327941911216973,0.017297376368749773,0.07352941176470587,0.9935744446484304,0.03881987577639751,0.6944444444444444,0.9220724174980197,0.007044132233931177,0.2870257234845539,0,100,95.0
sigma_040.0,fm_outcome,1000,130859,True,mc,0.031834132624985474,0.8880889737701092,0.007218989457741529,0.7012655340447576,0.007897738174922342,0.0,1.0,0.0,0.0,0.913613058626367,0.03990630323646585,0.21649048363237727,0,1,95.0
sigma_040.0,fm_outcome,2000,130859,True,mc,0.024069980882169027,0.8945804581370124,0.005898474191594226,0.7559107756159613,0.006577222908775041,0.0,1.0,0.0,0.0,0.9117348081777351,0.03681487456270518,0.20872633188920448,0,1,95.0
sigma_040.0,fm_outcome,4000,130859,True,mc,0.03196040561976711,0.893809887912516,0.00876259149393573,0.6373885700140934,0.009441340211116546,0.0,0.9984683478659382,0.0,0.0,0.912122391436429,0.04509517326283427,0.21661675662670954,0,1,95.0
sigma_040.0,fm_outcome,6000,130859,True,mc,0.02595386203048253,0.8965599327652181,0.006960276126524414,0.7119715461935585,0.007639024843705228,0.1492537313432836,0.9993402090495538,0.08064516129032258,1.0,0.9099888235447003,0.04080238109185057,0.21061021303730765,0,1,95.0
sigma_040.0,fm_outcome,8000,130859,True,mc,0.02350152171669834,0.8955309769762527,0.005891324623222196,0.7562066373154321,0.00657007334040301,0.14285714285714285,0.9998621228485419,0.08333333333333333,0.5,0.9127520520963587,0.0376414651676955,0.20815787272356262,0,1,95.0
sigma_040.0,mlp,1000,130859,True,mc,0.08607339146929142,0.8842020131421638,0.031763870983594844,-0.3144447835118549,0.03244261970077565,0.011587485515643104,0.9898830561947007,0.005841121495327103,0.7142857142857143,0.902277955320512,0.11000162254221542,0.27072974247656084,0,1,95.0
sigma_040.0,mlp,2000,130859,True,mc,0.07724209555166407,0.8962910996942357,0.028399094682292854,-0.1752044289840653,0.029077843399473672,0.0146163215590743,0.9908047283473517,0.007361963190184049,1.0,0.9163367138920931,0.1065563309750877,0.2618984465584581,0,1,95.0
sigma_040.0,mlp,4000,130859,True,mc,0.07984750366221205,0.894228192335837,0.028546062428682652,-0.18128621252003096,0.02922481114586347,0.005312084993359893,0.9917742927429274,0.0026666666666666666,0.6666666666666666,0.894296400436427,0.10817600080404388,0.2645038546689607,0,1,95.0
sigma_040.0,mlp,6000,130859,True,mc,0.09361993089129039,0.8947135340915203,0.03559007604864617,-0.47277987091354046,0.036268824765826976,0.07407407407407407,0.994962554992108,0.038461538461538464,1.0,0.9090150931093095,0.12613060605748402,0.27827628189805187,0,1,95.0
sigma_040.0,mlp,8000,130859,True,mc,0.05590604840408922,0.8969202486330682,0.02190281208099218,0.09362315761294149,0.022581560798172993,0.125,0.9998379085572704,0.06666666666666667,1.0,0.9252566598022393,0.10049740535093887,0.24056239941095603,0,1,95.0
